Name,X,Y
Beaumont Hospital,42.28993,-83.214136
Detroit Community Health Connection,42.345,-83.1349
Henry Ford Hospital,42.36779,-83.085479
DMC Harper Detroit,42.352487,-83.056499
Henry Ford Medical Center- Cottage,42.396564,-82.902558
Ascension St. John Hospital,42.419226,-82.915038
Highland Park General Hospital,42.394814,-83.105106
DMC Sinai Grace Hospital,42.417742,-83.182883
Garden City Hospital,42.330252,-83.312786
Henry Ford Wyandotte Hospital,42.209019,-83.947929
